"","Line","Trial","Survival","Experiment"
"180","VIR13047","RM19",100,"VIR"
"181","VIR13051","CR15",0,"VIR"
"182","VIR13051","SP15",60,"VIR"
"183","VIR13051","CR16",0,"VIR"
"184","VIR13051","SP16",0,"VIR"
"185","VIR13051","AB16",20,"VIR"
"186","VIR13051","AL16",80,"VIR"
"187","VIR13051","BZ16",100,"VIR"
"188","VIR13051","IT16",98,"VIR"
"189","VIR13051","ME16",70,"VIR"
"190","VIR13051","RM19",90,"VIR"
"191","VIR13059","CR15",0,"VIR"
"192","VIR13059","SP15",60,"VIR"
"193","VIR13059","CR16",0,"VIR"
"194","VIR13059","SP16",0,"VIR"
"195","VIR13059","AB16",10,"VIR"
"196","VIR13059","AL16",50,"VIR"
"197","VIR13059","BZ16",100,"VIR"
"198","VIR13059","IT16",60,"VIR"
"199","VIR13059","ME16",70,"VIR"
"200","VIR13059","RM19",90,"VIR"
"201","VIR13060","CR15",0,"VIR"
"202","VIR13060","SP15",60,"VIR"
"203","VIR13060","CR16",0,"VIR"
"204","VIR13060","SP16",0,"VIR"
"205","VIR13060","AB16",10,"VIR"
"206","VIR13060","AL16",50,"VIR"
"207","VIR13060","BZ16",100,"VIR"
"208","VIR13060","IT16",90,"VIR"
"209","VIR13060","ME16",70,"VIR"
"210","VIR13060","RM19",90,"VIR"
"211","VIR13061","CR15",0,"VIR"
"212","VIR13061","SP15",60,"VIR"
"213","VIR13061","CR16",0,"VIR"
"214","VIR13061","SP16",0,"VIR"
"215","VIR13061","AB16",10,"VIR"
"216","VIR13061","AL16",80,"VIR"
"217","VIR13061","BZ16",100,"VIR"
"218","VIR13061","IT16",95,"VIR"
"219","VIR13061","ME16",70,"VIR"
"220","VIR13061","RM19",100,"VIR"
"221","VIR13071","CR15",0,"VIR"
"222","VIR13071","SP15",60,"VIR"
"223","VIR13071","CR16",0,"VIR"
"224","VIR13071","SP16",0,"VIR"
"225","VIR13071","AB16",20,"VIR"
"226","VIR13071","AL16",90,"VIR"
"227","VIR13071","BZ16",100,"VIR"
"228","VIR13071","IT16",85,"VIR"
"229","VIR13071","ME16",70,"VIR"
"230","VIR13071","RM19",100,"VIR"
"231","VIR13077","CR15",0,"VIR"
"232","VIR13077","SP15",60,"VIR"
"233","VIR13077","CR16",0,"VIR"
"234","VIR13077","SP16",0,"VIR"
"235","VIR13077","AB16",90.4761904761905,"VIR"
"236","VIR13077","AL16",60,"VIR"
"237","VIR13077","BZ16",100,"VIR"
"238","VIR13077","IT16",98,"VIR"
"239","VIR13077","ME16",40,"VIR"
"240","VIR13077","RM19",90,"VIR"
"241","VIR13092","CR15",0,"VIR"
"242","VIR13092","SP15",60,"VIR"
"243","VIR13092","CR16",0,"VIR"
"244","VIR13092","SP16",0,"VIR"
"245","VIR13092","AB16",80.9523809523809,"VIR"
"246","VIR13092","AL16",70,"VIR"
"247","VIR13092","BZ16",100,"VIR"
"248","VIR13092","IT16",98,"VIR"
"249","VIR13092","ME16",50,"VIR"
"250","VIR13092","RM19",80,"VIR"
"251","VIR13095","CR15",0,"VIR"
"252","VIR13095","SP15",60,"VIR"
"253","VIR13095","CR16",0,"VIR"
"254","VIR13095","SP16",0,"VIR"
"255","VIR13095","AB16",20,"VIR"
"256","VIR13095","AL16",70,"VIR"
"257","VIR13095","BZ16",100,"VIR"
"258","VIR13095","IT16",90,"VIR"
"259","VIR13095","ME16",60,"VIR"
"260","VIR13095","RM19",90,"VIR"
"261","VIR13097","CR15",0,"VIR"
