"","Type","Species","Genotype","Survival","Freshratm","SLAm","Aream","Crown_Lm","Crown_Dm","LTM_CEA","LT_CEA","LTR_CEA","Lengthm","Widthm","SDL_CEA","SDS_CEA","C_CEA","S_CEA","R_CEA","Diam","LTM_MX","LT_MX","LTR_MX","AR_MX","STMaj_MX","Cric_MX","SR_ratio","Per_Shoot","Per_Root","Survival2"
"14","Spring","Barley","Lacey",1,0.127449205808359,399.135586529166,14.4846666666667,21.125,6.525,0.866666666666667,0.286666666666667,0.336607780837657,19.4357367400162,0.9925,2.18016666666667,1.905,34.8566837842719,0,65.1433162157281,0.0268833333333333,0.91,0.295555555555556,0.340616678522882,2.15506481481482,0.0550833333333333,0.739981481481481,1.831439394,0.0178,0.0326,1.2
"15","Spring","Barley","Lion",1,0.145449669106155,334.37026998335,14.8471666666667,16.7,5.55,0.864166666666667,0.2825,0.329169875339761,22.5192631359565,0.9045,2.825,2.58333333333333,38.2706282892224,0,61.7293717107776,0.0223166666666667,0.945555555555556,0.292222222222222,0.326133686604311,1.75388888888889,0.0528518518518519,0.806314814814815,1.920940739,0.031866666665,0.060866666665,1.2
"16","Spring","Barley","Manchuria",1,0.149710830881502,332.680492728246,14.64625,19.525,6.25,0.8575,0.273333333333333,0.325980864334355,21.5415722104183,0.944333333333333,2.89166666666667,2.775,38.4927326659687,0,61.5072673340313,0.0211722222222222,0.783333333333333,0.27,0.355421672106156,1.70421296296296,0.0463703703703704,0.810944444444444,3.159570662,0.0135,0.04175,1.2
"17","Spring","Barley","Morex",1,0.136097120533832,393.218251987044,16.0058333333333,20.375,5.925,0.841666666666667,0.288333333333333,0.351113661663035,21.0303618737789,0.976333333333333,1.86266666666667,1.86266666666667,36.4336932894161,0,63.5663067105839,0.0218888888888889,0.881111111111111,0.301111111111111,0.356372041474819,1.87612037037037,0.0465648148148148,0.780333333333333,2.4651629075,0.017625,0.043775,1.2
"18","Spring","Barley","ND-Genesis",1,0.12952530726082,383.103580306936,14.45975,19.85,6.425,1.025,0.294166666666667,0.29258764265507,21.8544950948416,0.905166666666667,2.05316666666667,2.08491666666667,35.6850433967061,0,64.3149566032939,0.0285333333333333,0.968888888888889,0.295555555555556,0.323756522554802,1.90671296296296,0.0478967592592593,0.780277777777778,3.2347020935,0.01475,0.046708333335,1.2
"19","Spring","Barley","S2M184",1,0.13101472219967,372.785704900801,11.3326666666667,21.15,4.4,0.84,0.283333333333333,0.384025777434104,18.7965956764753,0.768166666666667,1.94733333333333,1.43933333333333,32.4223446947281,0,67.5776553052719,0.0286777777777778,1.08444444444444,0.316666666666667,0.302485926340906,1.81902083333333,0.0512508680555556,0.797668981481481,1.8666666665,0.0286,0.0539,1.2
"20","Unk","Vulgare x Bulbosum","119Y4/4/5/10",NA,0.128818885951832,369.700563111843,12.3503333333333,21.575,5.275,0.988333333333333,0.293333333333333,0.297437157395982,20.5629188730998,0.774,1.88383333333333,1.98966666666667,34.0276344801763,0,65.9723655198237,0.0235666666666667,0.794444444444444,0.261111111111111,0.338290025952198,1.54241666666667,0.0440925925925926,0.836953703703704,2.92,0.01875,0.05475,NA
"21","Unk","Vulgare x Bulbosum","169P15/8",NA,0.129857891815792,368.584645615796,10.41375,23,5.3,0.916666666666667,0.283333333333333,0.317301232199717,16.7634552067616,0.807166666666667,2.01083333333333,1.56633333333333,31.8316421082977,0,68.1683578917023,0.0237444444444444,0.963333333333333,0.282222222222222,0.297304315689675,1.64353947368421,0.0468205165692008,0.821517056530214,2.863292011,0.0229,0.0655,NA
"22","Unk","Vulgare x Bulbosum","230H13/17/M1/M1",NA,0.137801645547083,383.525530385645,14.3425833333333,24.725,5.55,0.825833333333333,0.2925,0.355275080952979,20.1972006309105,0.939833333333333,1.88383333333333,2.13783333333333,35.287440547756,0,64.712559452244,0.0229444444444444,0.884444444444444,0.281111111111111,0.323686087379288,1.97783333333333,0.0500740740740741,0.764648148148148,2.2531720855,0.0227,0.0512,NA
"23","Unk","Vulgare x Bulbosum","251V64/M2/M1",NA,0.133346902177743,400.579044963266,15.1865,27.575,5.95,0.866666666666667,0.270833333333333,0.324092145373042,20.851695101095,0.947,1.9685,1.778,35.4218079151984,0,64.5781920848016,0.0235833333333333,0.851111111111111,0.274444444444444,0.326464775085377,1.75087037037037,0.0457777777777778,0.808601851851852,1.895031056,0.025575,0.047225,NA
"24","Unk","Vulgare x Bulbosum","38P18/8/1/10",NA,0.133523336024692,353.804189189189,11.0988333333333,19.2,4.825,0.92,0.280833333333333,0.312284605576569,18.5346032389844,0.767083333333333,1.69333333333333,1.73566666666667,33.4127954929656,0,66.5872045070344,0.0250444444444444,0.968888888888889,0.267777777777778,0.284533929760473,1.63505555555556,0.0469166666666667,0.814981481481481,2.533710814,0.0231,0.0588,NA
"25","Unk","Vulgare x Bulbosum","65F3/2/1",NA,0.135410701576924,369.859671646257,9.59008333333333,17.6,5.925,0.894166666666667,0.2625,0.298054942608396,16.4049116947208,0.758,1.73566666666667,2.13783333333333,30.7600057450384,0,69.2399942549616,0.0208555555555556,0.927777777777778,0.26,0.287477312804719,1.53868756613757,0.0455925529100529,0.860774603174603,3.453211119,0.02045,0.070525,NA
"26","Winter","Barley","Admire-1",8,0.127291618118659,372.941741304796,14.8678333333333,24.7,5.325,0.98,0.299166666666667,0.308015837233217,21.3779379721686,0.89375,2.01083333333333,2.16958333333333,36.3730709611623,0,63.6269290388378,0.0211333333333333,0.907777777777778,0.277777777777778,0.32213421265322,1.74131481481481,0.0495648148148148,0.808287037037037,2.093365253,0.0265,0.0558,8.3
"27","Winter","Barley","Charles",5,0.141960709460955,329.175736697997,13.7773333333333,20.5,6.175,0.920833333333333,0.298333333333333,0.331365249603575,21.3777815404171,0.860083333333333,1.88383333333333,2.159,37.6039946014847,0,62.3960053985153,0.0258833333333333,0.978888888888889,0.304444444444444,0.317374849784232,1.78933333333333,0.0465185185185185,0.79062962962963,2.6822935235,0.020525,0.054875,5
"28","Winter","Barley","KWS Scala",6,0.128738808506873,332.128555189587,14.0315833333333,22.5,4.875,1.08333333333333,0.3175,0.298535653138982,20.5212003779603,0.88525,2.00025,2.00025,37.675798216165,0,62.324201783835,0.0230833333333333,0.935555555555556,0.304444444444444,0.336619440427546,1.62980158730159,0.0482998809523809,0.836107407407407,2.2962962965,0.0217,0.04875,5.4
"29","Winter","Barley","McGreagor",7,0.135924859175441,316.227485316616,14.2686666666667,25.175,5.5,0.913333333333333,0.308333333333333,0.342193681641357,21.1449905434634,0.924083333333333,1.92616666666667,1.95791666666667,38.7608816329482,0,61.2391183670518,0.0226,0.845555555555556,0.303333333333333,0.361576806810444,1.74216750841751,0.0498265993265993,0.816152356902357,NA,NA,NA,6.5
"30","Winter","Barley","P-954",7,0.137180194710488,382.758387614933,9.29216666666667,23.85,4.2,0.824166666666667,0.266666666666667,0.328023767923871,16.3403610789066,0.729666666666667,1.4605,1.4605,29.7611651910305,0,70.2388348089696,0.0211166666666667,0.745833333333333,0.280833333333333,0.392883179136232,1.44781201550388,0.0523741602067183,0.867062015503876,3.055555556,0.018,0.055,6.6
"31","Winter","Barley","Thoroughbred",6,0.128896274236754,361.939216189216,14.5251666666667,25,4.775,0.996666666666667,0.298333333333333,0.31278118140748,20.0661490359689,0.929583333333333,2.06375,1.88858333333333,36.098047070634,0,63.901952929366,0.0264722222222222,1.11555555555556,0.341111111111111,0.31847295925421,1.69663888888889,0.0501666666666667,0.82625,3.5833333335,0.0144,0.0516,5.7
"32","Winter","Rye","Danko",10,0.167626316148607,359.566996103335,10.3275,20.625,4.825,0.676666666666667,0.3225,0.484898176601393,18.3486799344443,0.722,1.2065,1.54516666666667,31.2444202866881,2.2546269639211,66.5009527493908,0.0276666666666667,0.683333333333333,0.326666666666667,0.477004219409283,2.05580555555556,0.0460833333333333,0.772611111111111,4.7229182015,0.013125,0.060125,9
"33","Winter","Rye","Hazlet",10,0.15147184816263,412.637116851595,9.91158333333333,11,5.025,0.611666666666667,0.28,0.465531722482723,19.5140041084378,0.631666666666667,1.35466666666667,1.79916666666667,29.0585530696116,0.711499513096249,70.2299474172921,0.0262111111111111,0.736666666666667,0.308888888888889,0.423754774270341,1.94199193548387,0.0428097968936679,0.762350955794504,4.395652174,0.0162,0.0723,9
"34","Winter","Rye","Rymin",10,0.147383675401562,394.585289115646,8.60158333333333,13.75,5.7,0.664166666666667,0.294166666666667,0.443792166487065,17.9047405805382,0.62525,1.12183333333333,1.524,28.4809691482197,0,71.5190308517803,0.02365,0.771111111111111,0.308888888888889,0.417435556098657,1.92158404917523,0.0470151260504202,0.776023467164644,4.2458333335,0.0181,0.0758,9
"35","Winter","Wheat","Jerry",10,0.156655475205639,364.877779030456,10.8884166666667,24.35,4.9,0.538333333333333,0.270833333333333,0.505547304025004,21.7542443908133,0.657083333333333,1.22766666666667,1.34408333333333,32.3190935508967,0.515166346336286,67.1657401027671,0.0228333333333333,0.528888888888889,0.263333333333333,0.507840080338172,2.2029537037037,0.0596759259259259,0.737203703703704,2.124690594,0.0213,0.0456,9.7
"36","Winter","Wheat","Minter",10,0.162340581017782,356.233687398404,9.02475,24.325,4.05,0.5225,0.246666666666667,0.486313982649315,22.6001437610346,0.512333333333333,1.37583333333333,1.19591666666667,29.8956224047737,1.63039930834359,68.4739782868828,0.0228611111111111,0.518888888888889,0.252222222222222,0.490395667115987,2.09416666666667,0.0569305555555556,0.756930555555556,1.6583815955,0.020433333335,0.033566666665,9.7
"37","Winter","Wheat","ND Noreen",10,0.164690915632383,347.007519591585,7.43125,30.575,5.3,0.534166666666667,0.264166666666667,0.501936795858282,17.0791512691805,0.558666666666667,1.3335,1.397,27.5409211379463,3.47347027697396,68.9856085850797,0.0213555555555556,0.55,0.267777777777778,0.491630101294084,2.06544444444444,0.0554444444444444,0.754611111111111,2.138838014,0.022175,0.04745,9.7
